Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Toyota,Premio,2014.0,12.0,180000.0,1500.0,Galle,Used,Petrol,Automatic,Saloon,white
Toyota,Vios,2005.0,21.0,180000.0,1496.0,Mawathagama,Used,Petrol,Automatic,Sedan,silver
Toyota,Allion,2008.0,18.0,189000.0,1490.0,Ambalangoda,Used,Petrol,Automatic,Sedan,silver
Toyota,Vios,2004.0,22.0,240000.0,1500.0,Malabe,Used,Petrol,Automatic,Hatchback,silver
Nissan,Presea,1997.0,29.0,132500.0,1500.0,Hanwella,Used,Petrol,Automatic,Sports,black
Suzuki,Wagon R,2024.0,2.0,3000.0,650.0,Anuradhapura,Brand New,Petrol,Automatic,Hatchback,black
Suzuki,Wagon R,2014.0,12.0,182000.0,650.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,white
Suzuki,Alto,2015.0,11.0,90000.0,800.0,Nittambuwa,Used,Petrol,Manual,Hatchback,blue
Micro,Panda Cross,2018.0,8.0,66800.0,1000.0,Battaramulla,Used,Petrol,Tiptronic,Hatchback,white
Toyota,Yaris,2025.0,1.0,0.0,1000.0,Kohuwala,Brand New,Petrol,Automatic,Hatchback,white
Suzuki,Wagon R,2016.0,10.0,114000.0,660.0,Piliyandala,Used,Petrol,Automatic,Hatchback,black
Nissan,Dayz,2024.0,2.0,250.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,white
Suzuki,Alto,2016.0,10.0,116000.0,800.0,Kandana,Used,Petrol,Manual,Hatchback,white
Suzuki,Swift,2004.0,22.0,162525.0,1300.0,Negombo,Used,Petrol,Manual,Hatchback,black
Suzuki,Spacia,2025.0,1.0,0.0,660.0,Kurunegala,Brand New,Hybrid,Automatic,Hatchback,silver
Honda,Insight,2011.0,15.0,147000.0,1330.0,Nugegoda,Used,Hybrid,Automatic,Saloon,black
Nissan,Sunny,2000.0,26.0,150000.0,1000.0,Kurunegala,Used,Petrol,Automatic,Saloon,white
